timestamp,exercise,rep_number,quality_score,feedback_tag,left_knee_angle,right_knee_angle
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.3988974101625,178.39597974423236
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.59902891690018,178.88146304333432
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.69376366657917,179.0009436615111
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.94242355220797,179.77605476081757
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.56759818276566,179.56114773927365
2025-11-09 17:21:43,wall_sit,0,1.0,excellent,179.84134051905815,178.66906427625747
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,178.46181229154448,178.30485447073733
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,177.00343613888725,177.64347865414553
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,175.72025246407352,176.22026117886924
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,176.06282285283606,176.1869351585776
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,176.4400242947523,176.4410523765052
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,176.58071519861892,176.33072974011853
2025-11-09 17:21:44,wall_sit,0,1.0,excellent,177.49095904610454,176.58210605128693
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,178.16575827134324,176.96101150367735
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,177.39817363700556,177.10544509464984
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,177.84330117145774,177.66900291415598
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,177.33364955564636,177.2747112560333
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,175.80411105933482,175.32344022079369
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,174.57693768625148,173.42323066648305
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,172.59596271565175,170.38153255886903
2025-11-09 17:21:45,wall_sit,0,1.0,excellent,171.5965287706863,169.39126773393377
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,173.92623646430064,173.79232504691572
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,172.30432396089634,171.8051048992409
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,171.86614589911022,173.65585192060848
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,170.02460358592617,171.58247435493334
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,171.5271440801663,173.2259488143211
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,172.550697417675,174.14018841685134
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,169.22586812702102,172.7261248609638
2025-11-09 17:21:46,wall_sit,0,1.0,excellent,169.93150174965652,171.26780705126365
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,170.7983349590183,172.3171036502153
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,172.46800412416,175.12565591602674
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,171.88188773948463,174.90665842986905
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,173.86899091679675,174.58454141197112
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,174.2698278819505,0.0
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,173.77560122675513,0.0
2025-11-09 17:21:47,wall_sit,0,1.0,excellent,172.43897989190077,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,172.97797772361142,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,173.89196168180118,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,173.55127937086618,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,176.07190184755203,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,176.18061147241343,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,175.44018486285626,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,175.20317753200882,0.0
2025-11-09 17:21:48,wall_sit,0,1.0,excellent,174.04340031931454,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,176.21152833802324,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,175.3363507888372,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,178.61984344117963,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,177.88796415211087,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,179.9720372848978,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,179.5017497050942,0.0
2025-11-09 17:21:49,wall_sit,0,1.0,excellent,174.43524822748762,0.0
